Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
953490,739NHAI31,National Highways Authority Of India,Active,F ,1000000.00,INE906B07EL4,Roads &amp; Highways,Debentures and Bonds
953491,ECLA9B605B,ECL Finance Ltd,Active,F ,100000.00,INE804I07L43,Electric Utilities,Debentures and Bonds
953492,ECLA9B605D,ECL Finance Ltd,Active,F ,100000.00,INE804I07L50,Electric Utilities,Debentures and Bonds
953494,87LTIDF21,L&amp;T Infra Debt Fund Ltd,Active,F ,2500000.00,INE235P07167,Other Financial Services,Debentures and Bonds
953495,87LTIDFL21,L&amp;T Infra Debt Fund Ltd,Active,F ,2500000.00,INE235P07217,Other Financial Services,Debentures and Bonds
953496,87LTIDFL23,L&amp;T Infra Debt Fund Ltd,Active,F ,2500000.00,INE235P07175,Other Financial Services,Debentures and Bonds
953497,873LTIDF36,L&amp;T Infra Debt Fund Ltd,Active,F ,2500000.00,INE235P07209,Other Financial Services,Debentures and Bonds
953498,873LTIDFL26,L&amp;T Infra Debt Fund Ltd,Active,F ,2500000.00,INE235P07183,Other Financial Services,Debentures and Bonds
953499,973LTIDF31,L&amp;T Infra Debt Fund Ltd,Active,F ,2500000.00,INE235P07191,Other Financial Services,Debentures and Bonds
953500,955AHFL21,Aadhar Housing Finance Ltd,Active,F ,1000000.00,INE538L07239,Housing Finance ,Debentures and Bonds
953501,955AHFL26A,Aadhar Housing Finance Ltd,Active,F ,1000000.00,INE538L07221,Housing Finance ,Debentures and Bonds
953502,990ECL19,ECL Finance Ltd,Active,F ,1000000.00,INE804I07L76,Electric Utilities,Debentures and Bonds
953504,133USFBL21,Utkarsh Small Finance Bank Ltd,Active,F ,1000000.00,INE396P07100,Financial Institutions,Debentures and Bonds
953505,9HDFCC19,HDFC Credila Financial Services Pvt. Ltd,Active,F ,1000000.00,INE539K07023,Financial Institutions,Debentures and Bonds
953506,880BFL21,Bajaj Finance Ltd,Active,F ,1000000.00,INE296A07JI7,Finance (including NBFCs),Debentures and Bonds
953507,1035HLFL19,Hinduja Leyland Finance Ltd,Active,F ,1000000.00,INE146O07201,Finance (including NBFCs),Debentures and Bonds
953508,0AHFCL19,Aspire Home Finance Corporation Ltd,Active,F ,1000000.00,INE658R08040,Housing Finance ,Debentures and Bonds
953509,965AFSL23,Avanse Financial Services Ltd,Active,F ,1000000.00,INE087P07063,Other Financial Services,Debentures and Bonds
953510,833NTPCL21,NTPC Ltd,Active,F ,1000000.00,INE733E07JZ5,Electric Utilities,Debentures and Bonds
953511,707NABARD26,National Bank for Agriculture and Rural Development,Active,F ,1000000.00,INE261F07016,Banks,Debentures and Bonds
953512,ECLB9B602A,ECL Finance Ltd,Active,F ,100000.00,INE804I07L84,Electric Utilities,Debentures and Bonds
953513,ECLB9B602B,ECL Finance Ltd,Active,F ,100000.00,INE804I07L92,Electric Utilities,Debentures and Bonds
953514,ECLB9C602A,ECL Finance Ltd,Active,F ,100000.00,INE804I07M59,Electric Utilities,Debentures and Bonds
953516,872HDB19,HDB FINANCIAL SERVICES Ltd,Active,F ,1000000.00,INE756I07852,Financial Institutions,Debentures and Bonds
953517,89HDB19,HDB FINANCIAL SERVICES Ltd,Active,F ,1000000.00,INE756I07845,Financial Institutions,Debentures and Bonds
953518,105BUDPL19,Bakeri Urban Development Pvt Ltd,Active,F ,100000.00,INE325U08016,,Debentures and Bonds
953519,105BUDPL19A,Bakeri Urban Development Pvt Ltd,Active,F ,100000.00,INE325U08024,,Debentures and Bonds
953520,105BUDPL19B,Bakeri Urban Development Pvt Ltd,Active,F ,100000.00,INE325U08032,,Debentures and Bonds
953521,105BUDPL19C,Bakeri Urban Development Pvt Ltd,Active,F ,100000.00,INE325U08040,,Debentures and Bonds
953522,105BUDPL19D,Bakeri Urban Development Pvt Ltd,Active,F ,100000.00,INE325U08057,,Debentures and Bonds
953524,0JMFIN19,JM FINANCIAL PRODUCTS Ltd,Active,F ,1000000.00,INE523H07353,Finance (including NBFCs),Debentures and Bonds
953526,0HDFC20I,Housing Development Finance CorpLt,Active,F ,10000000.00,INE001A07OP6,Housing Finance ,Debentures and Bonds
953527,88283MMFS19,Mahindra &amp; Mahindra Financial Services Ltd,Active,F ,1000000.00,INE774D07OD8,Finance (including NBFCs),Debentures and Bonds
953528,EFILB8B602A,Edelweiss Finance &amp; Investments Ltd,Active,F ,100000.00,INE918K07EQ9,Other Financial Services,Debentures and Bonds
953529,88377MMFS19,Mahindra &amp; Mahindra Financial Services Ltd,Active,F ,1000000.00,INE774D07OC0,Finance (including NBFCs),Debentures and Bonds
953531,885MMFSL19,Mahindra &amp; Mahindra Financial Services Ltd,Active,F ,1000000.00,INE774D07OE6,Finance (including NBFCs),Debentures and Bonds
953532,11IREL19I,Indiabulls Real Estate Ltd,Active,F ,1000000.00,INE069I07223,Realty,Debentures and Bonds
953533,JMFCSL19,JM Financial Credit Solutions Ltd,Active,F ,1000000.00,INE651J07127,Investment Companies,Debentures and Bonds
953534,11IREL18II,Indiabulls Real Estate Ltd,Active,F ,1000000.00,INE069I07231,Realty,Debentures and Bonds
953535,88396MMFS19,Mahindra &amp; Mahindra Financial Services Ltd,Active,F ,1000000.00,INE774D07OF3,Finance (including NBFCs),Debentures and Bonds
953536,970JMFCS21A,JM Financial Credit Solutions Ltd,Active,F ,1000000.00,INE651J07119,Investment Companies,Debentures and Bonds
953537,88286MMFS19,Mahindra &amp; Mahindra Financial Services Ltd,Active,F ,1000000.00,INE774D07OG1,Finance (including NBFCs),Debentures and Bonds
953538,0AFL19I,Axis Finance Ltd,Active,F ,1000000.00,INE891K07234,Finance (including NBFCs),Debentures and Bonds
953539,0AFL19II,Axis Finance Ltd,Active,F ,1000000.00,INE891K07242,Finance (including NBFCs),Debentures and Bonds
953540,0AFL19B,Axis Finance Ltd,Active,F ,1000000.00,INE891K07259,Finance (including NBFCs),Debentures and Bonds
953541,872HDFCL19,Housing Development Finance CorpLt,Active,F ,10000000.00,INE001A07OQ4,Housing Finance ,Debentures and Bonds
953543,88399MMFS19,Mahindra &amp; Mahindra Financial Services Ltd,Active,F ,1000000.00,INE774D07OH9,Finance (including NBFCs),Debentures and Bonds
953544,RCL3MAR16,Reliance Capital Ltd,Active,F ,100000.00,INE013A07V87,Finance (including NBFCs),Debentures and Bonds
953545,565GKIL21A,Gati Kausar India Ltd,Active,F ,1000000.00,INE646I07020,Transport Related Services,Debentures and Bonds
953546,114SOBHA20X,Sobha Ltd,Active,F ,100000.00,INE671H07251,Realty,Debentures and Bonds
953547,1125SOBHA18,Sobha Ltd,Active,F ,100000.00,INE671H07244,Realty,Debentures and Bonds
953548,19CPITPPL36,Cyber Pearl Information Technology Park Pvt Ltd,Active,F ,1000000.00,INE660H08039,Internet Software &amp; Services,Debentures and Bonds
953549,862IIL21,India Infradebt Ltd,Active,F ,1000000.00,INE537P07117,Other Financial Services,Debentures and Bonds
953550,862IIL26,India Infradebt Ltd,Active,F ,1000000.00,INE537P07125,Other Financial Services,Debentures and Bonds
953551,0KMPL19D,Kotak Mahindra Prime Ltd,Active,F ,1000000.00,INE916DA7KE5,Other Financial Services,Debentures and Bonds
953552,1278FPL18,FINO Finance Pvt Ltd,Active,F ,125000.00,INE517Q07067,Financial Institutions,Debentures and Bonds
953553,0KMPL19E,Kotak Mahindra Prime Ltd,Active,F ,1000000.00,INE916DA7KF2,Other Financial Services,Debentures and Bonds
953554,885KMPL18,Kotak Mahindra Prime Ltd,Active,F ,1000000.00,INE916DA7KC9,Other Financial Services,Debentures and Bonds
953555,8815KMPL18,Kotak Mahindra Prime Ltd,Active,F ,1000000.00,INE916DA7KD7,Other Financial Services,Debentures and Bonds
953556,0KMPL19F,Kotak Mahindra Prime Ltd,Active,F ,1000000.00,INE916DA7KG0,Other Financial Services,Debentures and Bonds
953557,0KMPL19G,Kotak Mahindra Prime Ltd,Active,F ,1000000.00,INE916DA7KH8,Other Financial Services,Debentures and Bonds
953558,EFILB9B601A,Edelweiss Finance &amp; Investments Ltd,Active,F ,100000.00,INE918K07ER7,Other Financial Services,Debentures and Bonds
953559,ECLB8B601B,ECL Finance Ltd,Active,F ,100000.00,INE804I07M34,Electric Utilities,Debentures and Bonds
953560,ECLB8B601D,ECL Finance Ltd,Active,F ,100000.00,INE804I07M42,Electric Utilities,Debentures and Bonds
953561,ECLA9B606B,ECL Finance Ltd,Active,F ,100000.00,INE804I07M18,Electric Utilities,Debentures and Bonds
953562,ECLA9B606D,ECL Finance Ltd,Active,F ,100000.00,INE804I07M26,Electric Utilities,Debentures and Bonds
953563,833IRFC19,Indian Railway Finance Corporation,Active,F ,1000000.00,INE053F07850,Other Financial Services,Debentures and Bonds
953564,0BFL19J,Bajaj Finance Ltd,Active,F ,1000000.00,INE296A07JJ5,Finance (including NBFCs),Debentures and Bonds
953565,0BFL19K,Bajaj Finance Ltd,Active,F ,1000000.00,INE296A07JK3,Finance (including NBFCs),Debentures and Bonds
953566,0BFL19L,Bajaj Finance Ltd,Active,F ,1000000.00,INE296A07JL1,Finance (including NBFCs),Debentures and Bonds
953567,0BFL19M,Bajaj Finance Ltd,Active,F ,1000000.00,INE296A07JM9,Finance (including NBFCs),Debentures and Bonds
953568,0BFL19N,Bajaj Finance Ltd,Active,F ,1000000.00,INE296A07JN7,Finance (including NBFCs),Debentures and Bonds
953569,0BFL19O,Bajaj Finance Ltd,Active,F ,1000000.00,INE296A07JO5,Finance (including NBFCs),Debentures and Bonds
953570,0BFL19P,Bajaj Finance Ltd,Active,F ,1000000.00,INE296A07JP2,Finance (including NBFCs),Debentures and Bonds
953571,0BFL19Q,Bajaj Finance Ltd,Active,F ,1000000.00,INE296A07JQ0,Finance (including NBFCs),Debentures and Bonds
